    0, 124
    1, 116
    2, 112
    3, 108
    4, 104
    5, 100
    6,  96
    7,  93
    8,  97
    9, 101
   10, 105
   11, 109
   12, 113
   13, 117
   14, 121
   15, 125
   16, 127
   17, 123
   18, 119
   19, 115
   20, 111
   21, 107
   22, 103
   23,  99
   24,  95
   25,  91
   26,  87
   27,  83
   28,  79
   29,  75
   30,  71
   31,  67
   32,  63
   33,  59
   34,  55
   35,  51
   36,  47
   37,  43
   38,  39
   39,  35
   40,  31
   41,  27
   42,  23
   43,  19
   44,  15
   45,  11
   46,   7
   47,   3
   48,   1
   49,   5
   50,   9
   51,  13
   52,  17
   53,  21
   54,  25
   55,  29
   56,  33
   57,  40
   58,  36
   59,  32
   60,  28
   61,  24
   62,  20
   63,  16
   64, 128
   65, 120
   66, 126
   67, 122
   68, 118
   69, 114
   70, 110
   71, 106
   72, 102
   73,  98
   74,  94
   75,  90
   76,  86
   77,  82
   78,  78
   79,  74
   80,  70
   81,  66
   82,  68
   83,  72
   84,  76
   85,  80
   86,  84
   87,  88
   88,  92
   89,  89
   90,  85
   91,  81
   92,  77
   93,  73
   94,  69
   95,  65
   96,  61
   97,  57
   98,  53
   99,  49
  100,  45
  101,  41
  102,  37
  103,  44
  104,  48
  105,  52
  106,  56
  107,  60
  108,  64
  109,  62
  110,  59
  111,  54
  112,  50
  113,  46
  114,  42
  115,  38
  116,  34
  117,  30
  118,  26
  119,  22
  120,  18
  121,  14
  122,  10
  123,   6
  124,   2
  125,  12
  126,   8
  127,   4
