    0,   4
    1,   8
    2,  12
    3,   2
    4,   6
    5,  10
    6,  14
    7,  18
    8,  22
    9,  26
   10,  30
   11,  34
   12,  38
   13,  42
   14,  46
   15,  50
   16,  54
   17,  58
   18,  62
   19,  64
   20,  60
   21,  56
   22,  52
   23,  48
   24,  44
   25,  37
   26,  41
   27,  45
   28,  49
   29,  53
   30,  57
   31,  61
   32,  65
   33,  69
   34,  73
   35,  77
   36,  81
   37,  85
   38,  89
   39,  92
   40,  88
   41,  84
   42,  80
   43,  76
   44,  72
   45,  68
   46,  66
   47,  70
   48,  74
   49,  78
   50,  82
   51,  86
   52,  90
   53,  94
   54,  98
   55, 102
   56, 106
   57, 110
   58, 114
   59, 118
   60, 122
   61, 126
   62, 120
   63, 128
   64, 124
   65, 116
   66, 112
   67, 108
   68, 104
   69, 100
   70,  96
   71,  93
   72,  97
   73, 101
   74, 105
   75, 109
   76, 113
   77, 117
   78, 121
   79, 125
   80, 127
   81, 123
   82, 119
   83, 115
   84, 111
   85, 107
   86, 103
   87,  99
   88,  95
   89,  91
   90,  87
   91,  83
   92,  79
   93,  75
   94,  71
   95,  67
   96,  63
   97,  59
   98,  55
   99,  51
  100,  47
  101,  43
  102,  39
  103,  35
  104,  31
  105,  27
  106,  23
  107,  19
  108,  15
  109,  11
  110,   7
  111,   3
  112,   1
  113,   5
  114,   9
  115,  13
  116,  17
  117,  21
  118,  25
  119,  29
  120,  33
  121,  40
  122,  36
  123,  32
  124,  28
  125,  24
  126,  20
  127,  16
